2025-12-12 13:27:56 [INFO]  Executing: sp_GetCasesAsJson
2025-12-12 13:34:46 [INFO]  -------------------
2025-12-12 13:34:46 [INFO]  Batch 2150
2025-12-12 13:34:46 [INFO]  -------------------
2025-12-12 13:34:55 [INFO]  -------------------
2025-12-12 13:34:55 [INFO]  Batch 2200
2025-12-12 13:34:55 [INFO]  -------------------
2025-12-12 13:35:13 [INFO]  -------------------
2025-12-12 13:35:13 [INFO]  Batch 2250
2025-12-12 13:35:13 [INFO]  -------------------
2025-12-12 13:35:28 [INFO]  -------------------
2025-12-12 13:35:28 [INFO]  Batch 2300
2025-12-12 13:35:28 [INFO]  -------------------
2025-12-12 13:35:40 [INFO]  -------------------
2025-12-12 13:35:40 [INFO]  Batch 2350
2025-12-12 13:35:40 [INFO]  -------------------
2025-12-12 13:35:49 [INFO]  -------------------
2025-12-12 13:35:49 [INFO]  Batch 2400
2025-12-12 13:35:49 [INFO]  -------------------
2025-12-12 13:36:08 [INFO]  -------------------
2025-12-12 13:36:08 [INFO]  Batch 2450
2025-12-12 13:36:08 [INFO]  -------------------
2025-12-12 13:36:20 [INFO]  -------------------
2025-12-12 13:36:20 [INFO]  Batch 2500
2025-12-12 13:36:20 [INFO]  -------------------
2025-12-12 13:36:32 [INFO]  -------------------
2025-12-12 13:36:32 [INFO]  Batch 2550
2025-12-12 13:36:32 [INFO]  -------------------
2025-12-12 13:36:54 [INFO]  -------------------
2025-12-12 13:36:54 [INFO]  Batch 2600
2025-12-12 13:36:54 [INFO]  -------------------
2025-12-12 13:37:09 [INFO]  -------------------
2025-12-12 13:37:09 [INFO]  Batch 2650
2025-12-12 13:37:09 [INFO]  -------------------
2025-12-12 13:37:23 [INFO]  -------------------
2025-12-12 13:37:23 [INFO]  Batch 2700
2025-12-12 13:37:23 [INFO]  -------------------
2025-12-12 13:37:43 [INFO]  -------------------
2025-12-12 13:37:43 [INFO]  Batch 2750
2025-12-12 13:37:43 [INFO]  -------------------
2025-12-12 13:37:57 [INFO]  -------------------
2025-12-12 13:37:57 [INFO]  Batch 2800
2025-12-12 13:37:57 [INFO]  -------------------
2025-12-12 13:38:11 [INFO]  -------------------
2025-12-12 13:38:11 [INFO]  Batch 2850
2025-12-12 13:38:11 [INFO]  -------------------
2025-12-12 13:38:22 [INFO]  -------------------
2025-12-12 13:38:22 [INFO]  Batch 2900
2025-12-12 13:38:22 [INFO]  -------------------
2025-12-12 13:38:47 [INFO]  -------------------
2025-12-12 13:38:47 [INFO]  Batch 2950
2025-12-12 13:38:47 [INFO]  -------------------
2025-12-12 13:39:10 [INFO]  -------------------
2025-12-12 13:39:10 [INFO]  Batch 3000
2025-12-12 13:39:10 [INFO]  -------------------
2025-12-12 13:39:26 [INFO]  -------------------
2025-12-12 13:39:26 [INFO]  Batch 3050
2025-12-12 13:39:26 [INFO]  -------------------
2025-12-12 13:40:01 [INFO]  -------------------
2025-12-12 13:40:01 [INFO]  Batch 3100
2025-12-12 13:40:01 [INFO]  -------------------
2025-12-12 13:40:18 [INFO]  -------------------
2025-12-12 13:40:18 [INFO]  Batch 3150
2025-12-12 13:40:18 [INFO]  -------------------
2025-12-12 13:41:01 [INFO]  -------------------
2025-12-12 13:41:01 [INFO]  Batch 3200
2025-12-12 13:41:01 [INFO]  -------------------
2025-12-12 13:41:15 [INFO]  -------------------
2025-12-12 13:41:15 [INFO]  Batch 3250
2025-12-12 13:41:15 [INFO]  -------------------
2025-12-12 13:41:24 [INFO]  -------------------
2025-12-12 13:41:24 [INFO]  Batch 3300
2025-12-12 13:41:24 [INFO]  -------------------
2025-12-12 13:41:35 [INFO]  -------------------
2025-12-12 13:41:35 [INFO]  Batch 3350
2025-12-12 13:41:35 [INFO]  -------------------
2025-12-12 13:41:44 [INFO]  -------------------
2025-12-12 13:41:44 [INFO]  Batch 3400
2025-12-12 13:41:44 [INFO]  -------------------
2025-12-12 13:42:00 [INFO]  -------------------
2025-12-12 13:42:00 [INFO]  Batch 3450
2025-12-12 13:42:00 [INFO]  -------------------
2025-12-12 13:42:09 [INFO]  -------------------
2025-12-12 13:42:09 [INFO]  Batch 3500
2025-12-12 13:42:09 [INFO]  -------------------
2025-12-12 13:42:18 [INFO]  -------------------
2025-12-12 13:42:18 [INFO]  Batch 3550
2025-12-12 13:42:18 [INFO]  -------------------
2025-12-12 13:42:27 [INFO]  -------------------
2025-12-12 13:42:27 [INFO]  Batch 3600
2025-12-12 13:42:27 [INFO]  -------------------
2025-12-12 13:42:40 [INFO]  -------------------
2025-12-12 13:42:40 [INFO]  Batch 3650
2025-12-12 13:42:40 [INFO]  -------------------
2025-12-12 13:42:52 [INFO]  -------------------
2025-12-12 13:42:52 [INFO]  Batch 3700
2025-12-12 13:42:52 [INFO]  -------------------
2025-12-12 13:43:01 [INFO]  -------------------
2025-12-12 13:43:01 [INFO]  Batch 3750
2025-12-12 13:43:01 [INFO]  -------------------
2025-12-12 13:43:17 [INFO]  -------------------
2025-12-12 13:43:17 [INFO]  Batch 3800
2025-12-12 13:43:17 [INFO]  -------------------
2025-12-12 13:43:30 [INFO]  -------------------
2025-12-12 13:43:30 [INFO]  Batch 3850
2025-12-12 13:43:30 [INFO]  -------------------
2025-12-12 13:43:39 [INFO]  -------------------
2025-12-12 13:43:39 [INFO]  Batch 3900
2025-12-12 13:43:39 [INFO]  -------------------
2025-12-12 13:43:48 [INFO]  -------------------
2025-12-12 13:43:48 [INFO]  Batch 3950
2025-12-12 13:43:48 [INFO]  -------------------
2025-12-12 13:43:57 [INFO]  -------------------
2025-12-12 13:43:57 [INFO]  Batch 4000
2025-12-12 13:43:57 [INFO]  -------------------
2025-12-12 13:44:07 [INFO]  -------------------
2025-12-12 13:44:07 [INFO]  Batch 4050
2025-12-12 13:44:07 [INFO]  -------------------
2025-12-12 13:44:46 [INFO]  -------------------
2025-12-12 13:44:46 [INFO]  Batch 4100
2025-12-12 13:44:46 [INFO]  -------------------
2025-12-12 13:44:58 [INFO]  -------------------
2025-12-12 13:44:58 [INFO]  Batch 4150
2025-12-12 13:44:58 [INFO]  -------------------
2025-12-12 13:45:10 [INFO]  -------------------
2025-12-12 13:45:10 [INFO]  Batch 4200
2025-12-12 13:45:10 [INFO]  -------------------
2025-12-12 13:45:19 [INFO]  -------------------
2025-12-12 13:45:19 [INFO]  Batch 4250
2025-12-12 13:45:19 [INFO]  -------------------
2025-12-12 13:45:29 [INFO]  -------------------
2025-12-12 13:45:29 [INFO]  Batch 4300
