2025-10-07 08:23:11 - -------------------
2025-10-07 08:23:11 - Warrants Logs
2025-10-07 08:23:11 - Batch 0
2025-10-07 08:23:11 - -------------------
2025-10-07 08:23:26 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400003: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:26 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400004: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:26 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400005: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:27 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400006: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:27 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400007: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:28 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400008: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:28 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400009: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:29 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400010: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:29 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400011: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:30 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400012: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:30 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400013: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:31 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400014: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:31 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400015: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:32 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400016: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:32 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400017: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:32 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400018: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:33 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400019: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:33 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400020: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:33 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400021: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:34 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400022: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:34 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012C3620400023: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:34 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400001: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:35 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400002: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:35 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400003: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:35 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400004: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:35 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400005: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:36 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400006: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:36 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400007: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:36 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400008: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:37 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400009: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:37 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400010: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:38 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400011: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:38 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400012: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:38 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400013: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:39 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400014: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:39 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400015: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
