2025-12-29 16:29:57 [INFO]  Executing: sp_GetCasesAsJson
2025-12-29 16:37:49 [INFO]  -------------------
2025-12-29 16:37:49 [INFO]  Batch 2150
2025-12-29 16:37:49 [INFO]  -------------------
2025-12-29 16:37:59 [INFO]  -------------------
2025-12-29 16:37:59 [INFO]  Batch 2200
2025-12-29 16:37:59 [INFO]  -------------------
2025-12-29 16:38:10 [INFO]  -------------------
2025-12-29 16:38:10 [INFO]  Batch 2250
2025-12-29 16:38:10 [INFO]  -------------------
2025-12-29 16:38:20 [INFO]  -------------------
2025-12-29 16:38:20 [INFO]  Batch 2300
2025-12-29 16:38:20 [INFO]  -------------------
2025-12-29 16:38:31 [INFO]  -------------------
2025-12-29 16:38:31 [INFO]  Batch 2350
2025-12-29 16:38:31 [INFO]  -------------------
2025-12-29 16:38:42 [INFO]  -------------------
2025-12-29 16:38:42 [INFO]  Batch 2400
2025-12-29 16:38:42 [INFO]  -------------------
2025-12-29 16:38:52 [INFO]  -------------------
2025-12-29 16:38:52 [INFO]  Batch 2450
2025-12-29 16:38:52 [INFO]  -------------------
2025-12-29 16:39:03 [INFO]  -------------------
2025-12-29 16:39:03 [INFO]  Batch 2500
2025-12-29 16:39:03 [INFO]  -------------------
2025-12-29 16:39:13 [INFO]  -------------------
2025-12-29 16:39:13 [INFO]  Batch 2550
2025-12-29 16:39:13 [INFO]  -------------------
2025-12-29 16:39:24 [INFO]  -------------------
2025-12-29 16:39:24 [INFO]  Batch 2600
2025-12-29 16:39:24 [INFO]  -------------------
2025-12-29 16:39:35 [INFO]  -------------------
2025-12-29 16:39:35 [INFO]  Batch 2650
2025-12-29 16:39:35 [INFO]  -------------------
2025-12-29 16:39:45 [INFO]  -------------------
2025-12-29 16:39:45 [INFO]  Batch 2700
2025-12-29 16:39:45 [INFO]  -------------------
2025-12-29 16:39:55 [INFO]  -------------------
2025-12-29 16:39:55 [INFO]  Batch 2750
2025-12-29 16:39:55 [INFO]  -------------------
2025-12-29 16:40:06 [INFO]  -------------------
2025-12-29 16:40:06 [INFO]  Batch 2800
2025-12-29 16:40:06 [INFO]  -------------------
2025-12-29 16:40:17 [INFO]  -------------------
2025-12-29 16:40:17 [INFO]  Batch 2850
2025-12-29 16:40:17 [INFO]  -------------------
2025-12-29 16:40:28 [INFO]  -------------------
2025-12-29 16:40:28 [INFO]  Batch 2900
2025-12-29 16:40:28 [INFO]  -------------------
2025-12-29 16:40:38 [INFO]  -------------------
2025-12-29 16:40:38 [INFO]  Batch 2950
2025-12-29 16:40:38 [INFO]  -------------------
2025-12-29 16:40:49 [INFO]  -------------------
2025-12-29 16:40:49 [INFO]  Batch 3000
2025-12-29 16:40:49 [INFO]  -------------------
2025-12-29 16:41:00 [INFO]  -------------------
2025-12-29 16:41:00 [INFO]  Batch 3050
2025-12-29 16:41:00 [INFO]  -------------------
2025-12-29 16:41:11 [INFO]  -------------------
2025-12-29 16:41:11 [INFO]  Batch 3100
2025-12-29 16:41:11 [INFO]  -------------------
2025-12-29 16:41:22 [INFO]  -------------------
2025-12-29 16:41:22 [INFO]  Batch 3150
2025-12-29 16:41:22 [INFO]  -------------------
2025-12-29 16:41:55 [INFO]  -------------------
2025-12-29 16:41:55 [INFO]  Batch 3200
2025-12-29 16:41:55 [INFO]  -------------------
2025-12-29 16:42:05 [INFO]  -------------------
2025-12-29 16:42:05 [INFO]  Batch 3250
2025-12-29 16:42:05 [INFO]  -------------------
2025-12-29 16:42:16 [INFO]  -------------------
2025-12-29 16:42:16 [INFO]  Batch 3300
2025-12-29 16:42:16 [INFO]  -------------------
2025-12-29 16:42:49 [INFO]  -------------------
2025-12-29 16:42:49 [INFO]  Batch 3350
2025-12-29 16:42:49 [INFO]  -------------------
2025-12-29 16:43:00 [INFO]  -------------------
2025-12-29 16:43:00 [INFO]  Batch 3400
2025-12-29 16:43:00 [INFO]  -------------------
2025-12-29 16:43:10 [INFO]  -------------------
2025-12-29 16:43:10 [INFO]  Batch 3450
2025-12-29 16:43:10 [INFO]  -------------------
2025-12-29 16:43:21 [INFO]  -------------------
2025-12-29 16:43:21 [INFO]  Batch 3500
2025-12-29 16:43:21 [INFO]  -------------------
2025-12-29 16:43:32 [INFO]  -------------------
2025-12-29 16:43:32 [INFO]  Batch 3550
2025-12-29 16:43:32 [INFO]  -------------------
2025-12-29 16:43:43 [INFO]  -------------------
2025-12-29 16:43:43 [INFO]  Batch 3600
2025-12-29 16:43:43 [INFO]  -------------------
2025-12-29 16:43:53 [INFO]  -------------------
2025-12-29 16:43:53 [INFO]  Batch 3650
2025-12-29 16:43:53 [INFO]  -------------------
2025-12-29 16:44:04 [INFO]  -------------------
2025-12-29 16:44:04 [INFO]  Batch 3700
2025-12-29 16:44:04 [INFO]  -------------------
2025-12-29 16:44:15 [INFO]  -------------------
2025-12-29 16:44:15 [INFO]  Batch 3750
2025-12-29 16:44:15 [INFO]  -------------------
2025-12-29 16:44:26 [INFO]  -------------------
2025-12-29 16:44:26 [INFO]  Batch 3800
2025-12-29 16:44:26 [INFO]  -------------------
2025-12-29 16:44:37 [INFO]  -------------------
2025-12-29 16:44:37 [INFO]  Batch 3850
2025-12-29 16:44:37 [INFO]  -------------------
2025-12-29 16:44:48 [INFO]  -------------------
2025-12-29 16:44:48 [INFO]  Batch 3900
2025-12-29 16:44:48 [INFO]  -------------------
2025-12-29 16:44:58 [INFO]  -------------------
2025-12-29 16:44:58 [INFO]  Batch 3950
2025-12-29 16:44:58 [INFO]  -------------------
2025-12-29 16:45:09 [INFO]  -------------------
2025-12-29 16:45:09 [INFO]  Batch 4000
2025-12-29 16:45:09 [INFO]  -------------------
2025-12-29 16:45:20 [INFO]  -------------------
2025-12-29 16:45:20 [INFO]  Batch 4050
2025-12-29 16:45:20 [INFO]  -------------------
2025-12-29 16:46:41 [INFO]  -------------------
2025-12-29 16:46:41 [INFO]  Batch 4100
2025-12-29 16:46:41 [INFO]  -------------------
2025-12-29 16:46:52 [INFO]  -------------------
2025-12-29 16:46:52 [INFO]  Batch 4150
2025-12-29 16:46:52 [INFO]  -------------------
2025-12-29 16:47:02 [INFO]  -------------------
2025-12-29 16:47:02 [INFO]  Batch 4200
2025-12-29 16:47:02 [INFO]  -------------------
2025-12-29 16:47:13 [INFO]  -------------------
2025-12-29 16:47:13 [INFO]  Batch 4250
2025-12-29 16:47:13 [INFO]  -------------------
2025-12-29 16:47:24 [INFO]  -------------------
2025-12-29 16:47:24 [INFO]  Batch 4300
2025-12-29 16:47:24 [INFO]  -------------------
2025-12-29 16:47:35 [INFO]  -------------------
2025-12-29 16:47:35 [INFO]  Batch 4350
2025-12-29 16:47:35 [INFO]  -------------------
